token,symbol,name,exch_seg,clean_symbol
13352,MALUPAPER-EQ,MALUPAPER,NSE,MALUPAPER
13404,SUNTV-EQ,SUNTV,NSE,SUNTV
13457,KAMDHENU-EQ,KAMDHENU,NSE,KAMDHENU
13501,ALLCARGO-EQ,ALLCARGO,NSE,ALLCARGO
13510,AKASH-EQ,AKASH,NSE,AKASH
13565,RAMANEWS-EQ,RAMANEWS,NSE,RAMANEWS
13592,HGM-EQ,HGM,NSE,HGM
1363,HINDALCO-EQ,HINDALCO,NSE,HINDALCO
13620,ANANTRAJ-EQ,ANANTRAJ,NSE,ANANTRAJ
13637,JMFINANCIL-EQ,JMFINANCIL,NSE,JMFINANCIL
13693,INFOMEDIA-EQ,INFOMEDIA,NSE,INFOMEDIA
13710,FIEMIND-EQ,FIEMIND,NSE,FIEMIND
13745,GTLINFRA-EQ,GTLINFRA,NSE,GTLINFRA
13786,TORNTPOWER-EQ,TORNTPOWER,NSE,TORNTPOWER
13870,KUANTUM-EQ,KUANTUM,NSE,KUANTUM
13966,HBLENGINE-EQ,HBLENGINE,NSE,HBLENGINE
14058,SANGHVIMOV-EQ,SANGHVIMOV,NSE,SANGHVIMOV
14064,ASMS-EQ,ASMS,NSE,ASMS
14134,PITTIENG-EQ,PITTIENG,NSE,PITTIENG
14236,HDFCMID150-EQ,HDFCMID150,NSE,HDFCMID150
14385,POCL-EQ,POCL,NSE,POCL
14398,AMDIND-EQ,AMDIND,NSE,AMDIND
14423,LAOPALA-EQ,LAOPALA,NSE,LAOPALA
14485,THEMISMED-EQ,THEMISMED,NSE,THEMISMED
14677,GUJAPOLLO-EQ,GUJAPOLLO,NSE,GUJAPOLLO
14687,GOACARBON-EQ,GOACARBON,NSE,GOACARBON
14767,081NSETEST-EQ,081NSETEST,NSE,081NSETEST
1494,RBA-EQ,RBA,NSE,RBA
15017,MAANALU-EQ,MAANALU,NSE,MAANALU
15124,KOLTEPATIL-EQ,KOLTEPATIL,NSE,KOLTEPATIL
15161,HITECHCORP-EQ,HITECHCORP,NSE,HITECHCORP
15199,MANAKSIA-EQ,MANAKSIA,NSE,MANAKSIA
15214,DVL-EQ,DVL,NSE,DVL
15266,JKIL-EQ,JKIL,NSE,JKIL
15295,VIRINCHI-EQ,VIRINCHI,NSE,VIRINCHI
15332,NMDC-EQ,NMDC,NSE,NMDC
15337,RAIN-EQ,RAIN,NSE,RAIN
15343,SADHNANIQ-EQ,SADHNANIQ,NSE,SADHNANIQ
154,APCOTEXIND-EQ,APCOTEXIND,NSE,APCOTEXIND
15399,EIHAHOTELS-EQ,EIHAHOTELS,NSE,EIHAHOTELS
15409,NESCO-EQ,NESCO,NSE,NESCO
1614,FAIRCHEMOR-EQ,FAIRCHEMOR,NSE,FAIRCHEMOR
1627,LINDEINDIA-EQ,LINDEINDIA,NSE,LINDEINDIA
16249,CCAVENUE-EQ,CCAVENUE,NSE,CCAVENUE
16589,VAISHALI-EQ,VAISHALI,NSE,VAISHALI
16675,BAJAJFINSV-EQ,BAJAJFINSV,NSE,BAJAJFINSV
1675,ITI-EQ,ITI,NSE,ITI
16807,LOTUSEYE-EQ,LOTUSEYE,NSE,LOTUSEYE
16822,IKIO-EQ,IKIO,NSE,IKIO
16821,VINYLINDIA-EQ,VINYLINDIA,NSE,VINYLINDIA
16859,SINDHUTRAD-EQ,SINDHUTRAD,NSE,SINDHUTRAD
17187,CYIENTDLM-EQ,CYIENTDLM,NSE,CYIENTDLM
17197,PAKKA-EQ,PAKKA,NSE,PAKKA
17351,SALONA-EQ,SALONA,NSE,SALONA
17397,PREMEXPLN-EQ,PREMEXPLN,NSE,PREMEXPLN
17419,BANKETF-EQ,BANKETF,NSE,BANKETF
17424,GLOBUSSPR-EQ,GLOBUSSPR,NSE,GLOBUSSPR
17477,CONTROLPR-EQ,CONTROLPR,NSE,CONTROLPR
17603,MAHEPC-EQ,MAHEPC,NSE,MAHEPC
17613,SENSEXADD-EQ,SENSEXADD,NSE,SENSEXADD
17700,LTGILTBEES-EQ,LTGILTBEES,NSE,LTGILTBEES
17704,QUESS-EQ,QUESS,NSE,QUESS
1782,KANPRPLA-EQ,KANPRPLA,NSE,KANPRPLA
17752,SHILPAMED-EQ,SHILPAMED,NSE,SHILPAMED
17794,SOMICONVEY-EQ,SOMICONVEY,NSE,SOMICONVEY
17869,JSWENERGY-EQ,JSWENERGY,NSE,JSWENERGY
1797,AWHCL-EQ,AWHCL,NSE,AWHCL
17963,NESTLEIND-EQ,NESTLEIND,NSE,NESTLEIND
17971,SBICARD-EQ,SBICARD,NSE,SBICARD
18029,MBLINFRA-EQ,MBLINFRA,NSE,MBLINFRA
18086,DBL-EQ,DBL,NSE,DBL
18226,MANINFRA-EQ,MANINFRA,NSE,MANINFRA
18321,LGBBROSLTD-EQ,LGBBROSLTD,NSE,LGBBROSLTD
1835,KANORICHEM-EQ,KANORICHEM,NSE,KANORICHEM
18347,MIDCAPBETA-EQ,MIDCAPBETA,NSE,MIDCAPBETA
18353,NIM150INAV-EQ,NIM150INAV,NSE,NIM150INAV
